Metaprotein,mp_id,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,UniRef50,KEGG-Number
A2MG_BOVIN Alpha-2-macroglobulin OS=Bos taurus GN=A2M PE=1 SV=2,26,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,Bovidae,Bos,Bos taurus,UniRef50_Q7SIH1,K03910|
A2MG_PONAB Alpha-2-macroglobulin OS=Pongo abelii GN=A2M PE=2 SV=1,27,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P01023,K03910|
AACT_PONAB Alpha-1-antichymotrypsin OS=Pongo abelii GN=SERPINA3 PE=2 SV=1,28,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P01011,K04525|
AAT_SALTY Aspartate aminotransferase OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) GN=aspC PE=3 SV=1,29,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,UniRef50_P00509,K00813|
ABCX_PYRYE Probable ATP-dependent transporter ycf16 OS=Pyropia yezoensis GN=ycf16 PE=3 SV=1,30,Eukaryota,unassigned,unassigned,Bangiophyceae,Bangiales,Bangiaceae,Pyropia,Pyropia yezoensis,UniRef50_O78474,|
ABDA_CULQU Homeobox protein abdominal-A homolog OS=Culex quinquefasciatus GN=abd-A PE=3 SV=1,31,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex quinquefasciatus,UniRef50_B0W1V2,K09311|
"ACADM_BOVIN Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Bos taurus GN=ACADM PE=2 SV=1",32,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P45952,K00249|
"ACADM_PANTR Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Pan troglodytes GN=ACADM PE=2 SV=1",33,Eukaryota,Metazoa,Chordata,Mammalia,Primates,unassigned,unassigned,unassigned,UniRef50_P11310,|K00249|
"ACADM_PIG Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Sus scrofa GN=ACADM PE=1 SV=3",34,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,Suidae,Sus,Sus scrofa,UniRef50_P41367,K00249|
"ACADS_RAT Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Rattus norvegicus GN=Acads PE=1 SV=2",35,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,UniRef50_P15651,K00248|
CTRB2_HUMAN Chymotrypsinogen B2 OS=Homo sapiens GN=CTRB2 PE=2 SV=2,36,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_P17538,|K01310|
"ACCD_AETCO Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic OS=Aethionema cordifolium GN=accD PE=3 SV=1",37,Eukaryota,Viridiplantae,Streptophyta,unassigned,Brassicales,Brassicaceae,Aethionema,Aethionema cordifolium,UniRef50_P56765,|
"ACDS_MEGEL Acyl-CoA dehydrogenase, short-chain specific OS=Megasphaera elsdenii PE=1 SV=1",38,Bacteria,unassigned,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,UniRef50_Q06319,|
ACE_PANTR Angiotensin-converting enzyme OS=Pan troglodytes GN=ACE PE=3 SV=1,39,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,unassigned,unassigned,UniRef50_P12821,K01283|
ACE_RABIT Angiotensin-converting enzyme OS=Oryctolagus cuniculus GN=ACE PE=1 SV=3,40,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P09470,K01283|
ACE2_RAT Angiotensin-converting enzyme 2 OS=Rattus norvegicus GN=Ace2 PE=1 SV=1,41,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,unassigned,unassigned,UniRef50_Q9BYF1,K09708|
ACEA_ECOLI Isocitrate lyase OS=Escherichia coli (strain K12) GN=aceA PE=1 SV=1,42,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unassigned,unassigned,UniRef50_P51066,K01637|
ACKA_AGARV Acetate kinase OS=Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835 / VPI 0990) GN=ackA PE=3 SV=1,43,Bacteria,unassigned,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium rectale,UniRef50_C4Z917,K00925|
ACKA_BACV8 Acetate kinase OS=Bacteroides vulgatus (strain ATCC 8482 / DSM 1447 / JCM 5826 / NBRC 14291 / NCTC 11154) GN=ackA PE=3 SV=1,44,Bacteria,unassigned,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides vulgatus,UniRef50_Q9WYB1,K00925|
ACKA_CLOB1 Acetate kinase OS=Clostridium botulinum (strain ATCC 19397 / Type A) GN=ackA PE=3 SV=1,45,Bacteria,unassigned,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium botulinum,UniRef50_B8CWV8,K00925|
ACKA_CLOPH Acetate kinase OS=Clostridium phytofermentans (strain ATCC 700394 / DSM 18823 / ISDg) GN=ackA PE=3 SV=1,46,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P0CW05,K00925|
ACKA_CROS8 Acetate kinase OS=Cronobacter sakazakii (strain ATCC BAA-894) GN=ackA PE=3 SV=1,47,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unassigned,unassigned,UniRef50_P0A6A5,K00925|
ACKA_FINM2 Acetate kinase OS=Finegoldia magna (strain ATCC 29328) GN=ackA PE=3 SV=1,48,Bacteria,unassigned,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XI. Incertae Sedis,Finegoldia,Finegoldia magna,UniRef50_P38502,K00925|
ACKA_MYCSS Acetate kinase OS=Mycobacterium sp. (strain MCS) GN=ackA PE=3 SV=1,49,Bacteria,unassigned,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp. KMS,UniRef50_A3PTW3,K00925|
ACKA_RICFE Acetate kinase OS=Rickettsia felis (strain ATCC VR-1525 / URRWXCal2) GN=ackA PE=3 SV=2,50,Bacteria,unassigned,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia felis,UniRef50_Q4UNB0,K00925|
ACKA_SHELP Acetate kinase OS=Shewanella loihica (strain ATCC BAA-1088 / PV-4) GN=ackA PE=3 SV=1,51,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella loihica,UniRef50_Q9JTM0,K00925|
ACKA_SHESR Acetate kinase OS=Shewanella sp. (strain MR-7) GN=ackA PE=3 SV=1,52,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,unassigned,UniRef50_Q65TV4,K00925|
ACKA2_CLOPE Acetate kinase 2 OS=Clostridium perfringens (strain 13 / Type A) GN=ackA2 PE=3 SV=1,53,Bacteria,unassigned,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium perfringens,UniRef50_P71104,K00925|
ACNA_STRMU Aconitate hydratase A OS=Streptococcus mutans serotype c (strain ATCC 700610 / UA159) GN=acn PE=3 SV=2,54,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P25516,K01681|
ACNB_SALTY Aconitate hydratase B OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) GN=acnB PE=1 SV=1,55,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,UniRef50_P36683,K01682|
ACP_AKKM8 Acyl carrier protein OS=Akkermansia muciniphila (strain ATCC BAA-835 / Muc) GN=acpP PE=3 SV=1,56,Bacteria,unassigned,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia,Akkermansia muciniphila,UniRef50_B2V6T8,K02078|
ACP_BACTN Acyl carrier protein OS=Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / NCTC 10582 / E50 / VPI-5482) GN=acpP PE=3 SV=1,57,Bacteria,unassigned,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,UniRef50_Q8A2E6,K02078|
ACP_BACV8 Acyl carrier protein OS=Bacteroides vulgatus (strain ATCC 8482 / DSM 1447 / JCM 5826 / NBRC 14291 / NCTC 11154) GN=acpP PE=3 SV=1,58,Bacteria,unassigned,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides vulgatus,UniRef50_O54439,K02078|
ACPH_HUMAN Acylamino-acid-releasing enzyme OS=Homo sapiens GN=APEH PE=1 SV=4,59,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P13798,K01303|
ACT_AJECG Actin OS=Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) GN=HCBG_08711 PE=2 SV=2,60,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Ajellomycetaceae,Ajellomyces,Ajellomyces capsulatus,UniRef50_P53455,|
ACT_CALFI Actin (Fragment) OS=Calanus finmarchicus PE=2 SV=1,61,Eukaryota,Metazoa,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_Q92192,|
ACT_PHARH Actin OS=Phaffia rhodozyma PE=3 SV=1,62,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P10989,|
ACT_YARLI Actin OS=Yarrowia lipolytica (strain CLIB 122 / E 150) GN=ACT1 PE=3 SV=2,63,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_Q9UVF3,|K05692|
ACT18_DICDI Actin-18 OS=Dictyostelium discoideum GN=act18 PE=3 SV=3,64,Eukaryota,unassigned,unassigned,unassigned,Dictyosteliida,unassigned,Dictyostelium,Dictyostelium discoideum,UniRef50_P07828,K10355|
"ACT2_OXYTR Actin, cytoplasmic OS=Oxytricha trifallax PE=3 SV=1",65,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P53500,|
ACT3_ECHGR Actin-3 (Fragment) OS=Echinococcus granulosus GN=ACTIII PE=2 SV=1,66,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_Q03342,|
"ACT3_LYTPI Actin, cytoskeletal 3 (Fragment) OS=Lytechinus pictus PE=3 SV=1",67,Eukaryota,Metazoa,Echinodermata,Echinoidea,Temnopleuroida,Toxopneustidae,Lytechinus,Lytechinus pictus,UniRef50_Q25379,|
"ACTA_RAT Actin, aortic smooth muscle OS=Rattus norvegicus GN=Acta2 PE=2 SV=1",68,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P68133,K12313|
"ACTE_STRPU Actin, cytoskeletal 3A OS=Strongylocentrotus purpuratus GN=CYIIIA PE=3 SV=1",69,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_Q96292,|
"ACTG_HUMAN Actin, cytoplasmic 2 OS=Homo sapiens GN=ACTG1 PE=1 SV=1",70,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P60709,K05692|
"ACTH_MOUSE Actin, gamma-enteric smooth muscle OS=Mus musculus GN=Actg2 PE=1 SV=1",71,Eukaryota,Metazoa,Chordata,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P63267,K12315|
"ACTM_BRALA Actin, muscle OS=Branchiostoma lanceolatum PE=2 SV=1",72,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P53492,|
ACTN_ACTDE Actinidain OS=Actinidia deliciosa PE=1 SV=1,73,Eukaryota,Viridiplantae,Streptophyta,unassigned,Ericales,Actinidiaceae,Actinidia,unassigned,UniRef50_P00785,|
ACTN1_RAT Alpha-actinin-1 OS=Rattus norvegicus GN=Actn1 PE=1 SV=1,74,Eukaryota,Metazoa,Chordata,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P12814,K05699|
ACTN2_BOVIN Alpha-actinin-2 OS=Bos taurus GN=ACTN2 PE=2 SV=1,75,Eukaryota,Metazoa,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P35609,K05699|
ACTN4_BOVIN Alpha-actinin-4 OS=Bos taurus GN=ACTN4 PE=2 SV=1,76,Eukaryota,Metazoa,Chordata,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_O43707,K05699|
ACTT2_MACFA Actin-related protein T2 OS=Macaca fascicularis GN=ACTRT2 PE=2 SV=1,77,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Macaca fascicularis,UniRef50_Q8TDY3,|
"ACTX_TAKRU Actin, alpha anomalous OS=Takifugu rubripes PE=2 SV=1",78,Eukaryota,Metazoa,Chordata,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P53483,K10354|
ACUK_TALMQ Transcription activator of gluconeogenesis PMAA_028970 OS=Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333) GN=PMAA_028970 PE=3 SV=1,79,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces marneffei,UniRef50_E4UP58,|
ACY1A_RAT Aminoacylase-1A OS=Rattus norvegicus GN=Acy1a PE=1 SV=1,80,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_Q03154,K14677|
FCGBP_HUMAN IgGFc-binding protein OS=Homo sapiens GN=FCGBP PE=1 SV=3,81,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_Q9Y6R7,|
ADA_RAT Adenosine deaminase OS=Rattus norvegicus GN=Ada PE=1 SV=3,82,Eukaryota,Metazoa,Chordata,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P03958,K01488|
ADAR_DROME Double-stranded RNA-specific editase Adar OS=Drosophila melanogaster GN=Adar PE=1 SV=2,83,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,UniRef50_Q9NII1,K13194|
ADCY2_RAT Adenylate cyclase type 2 OS=Rattus norvegicus GN=Adcy2 PE=1 SV=1,84,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,UniRef50_P26769,K08042|
ADH1_CATRO Alcohol dehydrogenase 1 (Fragments) OS=Catharanthus roseus PE=1 SV=1,85,Eukaryota,Viridiplantae,Streptophyta,unassigned,Gentianales,Apocynaceae,Catharanthus,Catharanthus roseus,UniRef50_P85440,|
ADH1_GEOAT Alcohol dehydrogenase 1 OS=Geomys attwateri GN=ADH1 PE=2 SV=3,86,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Geomyidae,Geomys,Geomys attwateri,UniRef50_P11766,|
ADH3_HORVU Alcohol dehydrogenase 3 OS=Hordeum vulgare GN=ADH3 PE=3 SV=1,87,Eukaryota,Viridiplantae,Streptophyta,Liliopsida,Poales,Poaceae,Hordeum,Hordeum vulgare,UniRef50_P10848,|
ADH5_YEAST Alcohol dehydrogenase 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH5 PE=1 SV=1,88,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,unassigned,unassigned,unassigned,UniRef50_P00330,K13953|
ADHE_ECO57 Aldehyde-alcohol dehydrogenase OS=Escherichia coli O157:H7 GN=adhE PE=3 SV=2,89,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli,UniRef50_P0A9Q8,K04072|
ADT_DICDI Mitochondrial substrate carrier family protein ancA OS=Dictyostelium discoideum GN=ancA PE=1 SV=1,90,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P05141,K05863|
"ADT_KLULA ADP,ATP carrier protein OS=Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) GN=AAC PE=3 SV=1",91,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_Q9H0C2,K05863|
"ADT_SCHPO ADP,ATP carrier protein OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=anc1 PE=2 SV=1",92,Eukaryota,Fungi,Ascomycota,Schizosaccharomycetes,Schizosaccharomycetales,Schizosaccharomycetaceae,Schizosaccharomyces,Schizosaccharomyces pombe,UniRef50_P04710,K05863|
"ADT1_ANOGA ADP,ATP carrier protein 1 OS=Anopheles gambiae GN=AGAP006782 PE=2 SV=2",93,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles gambiae,UniRef50_Q27238,K05863|
ADT1_BOVIN ADP/ATP translocase 1 OS=Bos taurus GN=SLC25A4 PE=1 SV=3,94,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P12235,K05863|
"ADT1_SOLTU ADP,ATP carrier protein, mitochondrial OS=Solanum tuberosum GN=ANT PE=2 SV=1",95,Eukaryota,Viridiplantae,Streptophyta,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P31691,|
"ADT2_ARATH ADP,ATP carrier protein 2, mitochondrial OS=Arabidopsis thaliana GN=AAC2 PE=1 SV=2",96,Eukaryota,Viridiplantae,Streptophyta,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P40941,K05863|
"ADT2_MAIZE ADP,ATP carrier protein 2, mitochondrial OS=Zea mays GN=ANT2 PE=2 SV=2",97,Eukaryota,Viridiplantae,Streptophyta,Liliopsida,Poales,Poaceae,Zea,Zea mays,UniRef50_P12857,K05863|
"ADT3_ARATH ADP,ATP carrier protein 3, mitochondrial OS=Arabidopsis thaliana GN=AAC3 PE=1 SV=1",98,Eukaryota,Viridiplantae,Streptophyta,unassigned,Brassicales,Brassicaceae,Arabidopsis,Arabidopsis thaliana,UniRef50_P31167,K05863|
AGR2_PONAB Anterior gradient protein 2 homolog OS=Pongo abelii GN=AGR2 PE=2 SV=1,99,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Pongo,Pongo abelii,UniRef50_O95994,K20356|
AHP1_YEAST Peroxiredoxin type-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AHP1 PE=1 SV=4,100,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,UniRef50_P38013,K14171|
AHPC_ECOLI Alkyl hydroperoxide reductase subunit C OS=Escherichia coli (strain K12) GN=ahpC PE=1 SV=2,101,Bacteria,unassigned,Proteobacteria,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P80239,K03386|
AK3_ECOLI Lysine-sensitive aspartokinase 3 OS=Escherichia coli (strain K12) GN=lysC PE=1 SV=2,102,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli,UniRef50_P08660,K00928|
AL1L1_RAT Cytosolic 10-formyltetrahydrofolate dehydrogenase OS=Rattus norvegicus GN=Aldh1l1 PE=1 SV=3,103,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,unassigned,unassigned,UniRef50_O75891,K00289|
ALB2_PEA Albumin-2 OS=Pisum sativum PE=2 SV=1,104,Eukaryota,Viridiplantae,Streptophyta,unassigned,Fabales,Fabaceae,unassigned,unassigned,UniRef50_D4AEP7,|
ALBU_CAPHI Serum albumin (Fragments) OS=Capra hircus GN=ALB PE=1 SV=2,105,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,Bovidae,Capra,Capra hircus,UniRef50_P85295,|
ALBU_CHICK Serum albumin OS=Gallus gallus GN=ALB PE=1 SV=2,106,Eukaryota,Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Gallus gallus,UniRef50_P19121,|
ALBU_RAT Serum albumin OS=Rattus norvegicus GN=Alb PE=1 SV=2,107,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P02768,K16141|
"ALDH2_PONAB Aldehyde dehydrogenase, mitochondrial OS=Pongo abelii GN=ALDH2 PE=2 SV=1",108,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Pongo,Pongo abelii,UniRef50_P05091,K00128|
